date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:14	85118/85118	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2018:17:13%20GMT	https://3960034.igen.app/pwa	C:/My%20Web%20Sites/jrispaceapp/3960034.igen.app/pwa.html	(from )
14:17:15	199/199	---MCZ	200	added ('OK')	text/plain	etag:%221d5a50162e4a614%22	https://3960034.igen.app/robots.txt		(from )
14:17:15	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:%220x8D6A32570709AE3%22	https://igappfiles.azureedge.net/public/static/jquery-1.12.4.min.js	C:/My%20Web%20Sites/jrispaceapp/igappfiles.azureedge.net/public/static/jquery-1.12.4.min.js	(from https://3960034.igen.app/pwa)
14:17:15	331907/331907	---M-Z	200	added ('OK')	application/javascript	etag:%220x8D6A32570881ECF%22	https://igappfiles.azureedge.net/public/static/kendo.mobile.min.js	C:/My%20Web%20Sites/jrispaceapp/igappfiles.azureedge.net/public/static/kendo.mobile.min.js	(from https://3960034.igen.app/pwa)
14:17:16	47648/47648	---M-Z	200	added ('OK')	application/javascript	etag:%221d646f5f4ae8420%22	https://igenwebapps.azureedge.net/js/igscript5.0.min.js?v=f67bfd6f-1dc0-475a-9145-4666879fe7a8	C:/My%20Web%20Sites/jrispaceapp/igenwebapps.azureedge.net/js/igscript5.0.min275b.js	(from https://3960034.igen.app/pwa)
14:17:16	13188/13188	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/jrispaceapp/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://3960034.igen.app/pwa)
14:17:16	64897/64897	---M--	200	added ('OK')	image/png	etag:%220x8D8160FBF3154FC%22	https://igappblobs.azureedge.net/users/3553397/3960034/trans_background.png?v=30	C:/My%20Web%20Sites/jrispaceapp/igappblobs.azureedge.net/users/3553397/3960034/trans_backgroundbb80.png	(from https://3960034.igen.app/pwa)
14:17:17	14563/14563	---M--	200	added ('OK')	image/png	etag:%220x8D81613F6983DBD%22	https://igappblobs.azureedge.net/users/3553397/3960034/apple-touch-icon-precomposed.png?v=2	C:/My%20Web%20Sites/jrispaceapp/igappblobs.azureedge.net/users/3553397/3960034/apple-touch-icon-precomposed5e1f.png	(from https://3960034.igen.app/pwa)
14:17:17	19039/19039	---M--	200	added ('OK')	image/png	etag:%220x8D81613F6D22097%22	https://igappblobs.azureedge.net/users/3553397/3960034/splash-640x1136.png?v=2	C:/My%20Web%20Sites/jrispaceapp/igappblobs.azureedge.net/users/3553397/3960034/splash-640x11365e1f.png	(from https://3960034.igen.app/pwa)
14:17:17	22778/22778	---M--	200	added ('OK')	image/png	etag:%220x8D81613F6F7DA47%22	https://igappblobs.azureedge.net/users/3553397/3960034/splash-750x1334.png?v=2	C:/My%20Web%20Sites/jrispaceapp/igappblobs.azureedge.net/users/3553397/3960034/splash-750x13345e1f.png	(from https://3960034.igen.app/pwa)
14:17:17	43654/43654	---M--	200	added ('OK')	image/png	etag:%220x8D81613F75AFA37%22	https://igappblobs.azureedge.net/users/3553397/3960034/splash-1125x2436.png?v=2	C:/My%20Web%20Sites/jrispaceapp/igappblobs.azureedge.net/users/3553397/3960034/splash-1125x24365e1f.png	(from https://3960034.igen.app/pwa)
